id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
1,2017,2017-01-13,Australia,normal,92,,MS Wade,Australia,Pakistan,Australia,bat,MD Martell,C Shamshuddin,"Brisbane Cricket Ground, Woolloongabba"
2,2017,2017-01-15,Pakistan,normal,,6,Mohammad Hafeez,Australia,Pakistan,Australia,bat,CB Gaffaney,P Wilson,Melbourne Cricket Ground
3,2017,2017-01-19,Australia,normal,,7,SPD Smith,Australia,Pakistan,Australia,field,SD Fry,C Shamshuddin,Western Australia Cricket Association Ground
4,2017,2017-01-22,Australia,normal,86,,DA Warner,Australia,Pakistan,Australia,bat,CB Gaffaney,MD Martell,Sydney Cricket Ground
5,2017,2017-01-26,Australia,normal,57,,DA Warner,Australia,Pakistan,Australia,bat,SD Fry,C Shamshuddin,Adelaide Oval
6,2016,2016-12-04,Australia,normal,68,,SPD Smith,Australia,New Zealand,Australia,bat,HDPK Dharmasena,MD Martell,Sydney Cricket Ground
7,2016,2016-12-06,Australia,normal,116,,DA Warner,Australia,New Zealand,New Zealand,field,HDPK Dharmasena,P Wilson,Manuka Oval
8,2016,2016-12-09,Australia,normal,117,,DA Warner,Australia,New Zealand,Australia,bat,NJ Llong,MD Martell,Melbourne Cricket Ground
9,2016,2016-07-04,NA,no result,,,NA,Scotland,Afghanistan,Scotland,field,M Hawthorne,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
10,2016,2016-07-06,Afghanistan,normal,78,,NA,Scotland,Afghanistan,Afghanistan,bat,M Hawthorne,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
11,2016,2016-09-08,NA,no result,,,NA,Scotland,Hong Kong,Hong Kong,field,GO Brathwaite,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
12,2016,2016-09-10,Scotland,normal,53,,NA,Scotland,Hong Kong,Scotland,bat,GO Brathwaite,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
13,2016,2016-06-11,India,normal,,9,KL Rahul,Zimbabwe,India,India,field,IJ Gould,RB Tiffin,Harare Sports Club
14,2016,2016-06-13,India,normal,,8,YS Chahal,Zimbabwe,India,India,field,IJ Gould,L Rusere,Harare Sports Club
15,2016,2016-06-15,India,normal,,10,KL Rahul,Zimbabwe,India,Zimbabwe,bat,IJ Gould,TJ Matibiri,Harare Sports Club
16,2016,2016-12-26,New Zealand,normal,77,,TWM Latham,New Zealand,Bangladesh,New Zealand,bat,WR Knights,C Shamshuddin,Hagley Oval
17,2016,2016-12-29,New Zealand,normal,67,,NT Broom,New Zealand,Bangladesh,Bangladesh,field,CM Brown,PR Reiffel,Saxton Oval
18,2016,2016-12-31,New Zealand,normal,,8,KS Williamson,New Zealand,Bangladesh,Bangladesh,bat,CM Brown,C Shamshuddin,Saxton Oval
19,2017,2017-01-30,New Zealand,normal,6,,MP Stoinis,New Zealand,Australia,Australia,field,WR Knights,RSA Palliyaguruge,Eden Park
20,2017,2017-02-05,New Zealand,normal,24,,TA Boult,New Zealand,Australia,New Zealand,bat,CM Brown,RSA Palliyaguruge,Seddon Park
21,2017,2017-02-19,South Africa,normal,,4,Q de Kock,New Zealand,South Africa,South Africa,field,WR Knights,JS Wilson,Seddon Park
22,2017,2017-02-22,New Zealand,normal,6,,LRPL Taylor,New Zealand,South Africa,South Africa,field,CM Brown,PR Reiffel,Hagley Oval
23,2017,2017-02-25,South Africa,normal,159,,AB de Villiers,New Zealand,South Africa,South Africa,bat,CM Brown,JS Wilson,Westpac Stadium
24,2017,2017-03-01,New Zealand,normal,,7,MJ Guptill,New Zealand,South Africa,South Africa,bat,WR Knights,PR Reiffel,Seddon Park
25,2017,2017-03-04,South Africa,normal,,6,K Rabada,New Zealand,South Africa,South Africa,field,CM Brown,JS Wilson,Eden Park
26,2017,2017-06-01,England,normal,,8,JE Root,England,Bangladesh,England,field,S Ravi,RJ Tucker,Kennington Oval
27,2017,2017-06-02,NA,no result,,,NA,Australia,New Zealand,New Zealand,bat,RK Illingworth,RA Kettleborough,Edgbaston
28,2017,2017-06-03,South Africa,normal,96,,Imran Tahir,South Africa,Sri Lanka,Sri Lanka,field,Aleem Dar,IJ Gould,Kennington Oval
29,2017,2017-06-04,India,normal,124,,Yuvraj Singh,India,Pakistan,Pakistan,field,HDPK Dharmasena,M Erasmus,Edgbaston
30,2017,2017-06-05,NA,no result,,,NA,Australia,Bangladesh,Bangladesh,bat,CB Gaffaney,NJ Llong,Kennington Oval
31,2017,2017-06-06,England,normal,87,,JT Ball,England,New Zealand,New Zealand,field,BNJ Oxenford,PR Reiffel,Sophia Gardens
32,2017,2017-06-07,Pakistan,normal,19,,Hasan Ali,Pakistan,South Africa,South Africa,bat,RK Illingworth,S Ravi,Edgbaston
36,2017,2017-06-11,India,normal,,8,JJ Bumrah,India,South Africa,India,field,Aleem Dar,PR Reiffel,Kennington Oval
37,2017,2017-06-12,Pakistan,normal,,3,Sarfraz Ahmed,Pakistan,Sri Lanka,Pakistan,field,M Erasmus,BNJ Oxenford,Sophia Gardens
39,2017,2017-06-15,India,normal,,9,RG Sharma,Bangladesh,India,India,field,HDPK Dharmasena,RA Kettleborough,Edgbaston
40,2017,2017-06-18,Pakistan,normal,180,,Fakhar Zaman,India,Pakistan,India,field,M Erasmus,RA Kettleborough,Kennington Oval
41,2016,2016-11-04,Hong Kong,normal,106,,Babar Hayat,Hong Kong,Papua New Guinea,Hong Kong,bat,Sharfuddoula,Tabarak Dar,"Mission Road Ground, Mong Kok"
34,2017,2017-06-09,Bangladesh,normal,,5,Shakib Al Hasan,Bangladesh,New Zealand,New Zealand,bat,IJ Gould,NJ Llong,Sophia Gardens
42,2016,2016-11-06,Papua New Guinea,normal,14,,CA Soper,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Sharfuddoula,Tabarak Dar,"Mission Road Ground, Mong Kok"
43,2016,2016-11-08,Hong Kong,normal,,7,Anshuman Rath,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Sharfuddoula,IA Thomson,"Mission Road Ground, Mong Kok"
44,2017,2017-03-03,England,normal,45,,EJG Morgan,West Indies,England,West Indies,field,GO Brathwaite,RSA Palliyaguruge,"Sir Vivian Richards Stadium, North Sound"
45,2017,2017-03-05,England,normal,,4,JE Root,West Indies,England,West Indies,bat,N Duguid,CB Gaffaney,"Sir Vivian Richards Stadium, North Sound"
